[2022-01-28 10:19:16] arc_res50_adam_0.05_step_do_started.
[2022-01-28 13:41:58] Epoch#7_Iter#268800_loss: 18.515
[2022-01-28 13:42:45] Epoch#7_Iter#281600_loss: 21.444
[2022-01-28 13:43:33] Epoch#7_Iter#294400_loss: 19.019
[2022-01-28 13:44:21] Epoch#7_Iter#307200_loss: 21.331
[2022-01-28 13:45:09] Epoch#7_Iter#320000_loss: 23.737
[2022-01-28 13:45:56] Epoch#7_Iter#332800_loss: 20.713
[2022-01-28 13:46:44] Epoch#7_Iter#345600_loss: 18.867
[2022-01-28 13:47:32] Epoch#7_Iter#358400_loss: 20.162
[2022-01-28 13:48:20] Epoch#7_Iter#371200_loss: 21.589
[2022-01-28 13:49:07] Epoch#7_Iter#384000_loss: 18.213
[2022-01-28 13:49:55] Epoch#7_Iter#396800_loss: 21.853
[2022-01-28 13:50:43] Epoch#7_Iter#409600_loss: 20.285
[2022-01-28 13:51:31] Epoch#7_Iter#422400_loss: 17.815
[2022-01-28 13:52:19] Epoch#7_Iter#435200_loss: 18.647
[2022-01-28 13:53:06] Epoch#7_Iter#448000_loss: 17.848
[2022-01-28 13:53:54] Epoch#7_Iter#460800_loss: 18.425
[2022-01-28 13:54:42] Epoch#7_Iter#473600_loss: 20.946
[2022-01-28 13:55:30] Epoch#7_Iter#486400_loss: 22.487
[2022-01-28 13:56:16] Epoch#7 end, Accuracy: 96.517, Time Consumed: 1829.821
[2022-01-28 13:57:04] Epoch#8_Iter#12800_loss: 18.837
[2022-01-28 13:57:51] Epoch#8_Iter#25600_loss: 18.806
[2022-01-28 13:58:39] Epoch#8_Iter#38400_loss: 20.385
[2022-01-28 13:59:27] Epoch#8_Iter#51200_loss: 20.283
[2022-01-28 14:00:15] Epoch#8_Iter#64000_loss: 21.036
[2022-01-28 14:01:02] Epoch#8_Iter#76800_loss: 20.859
[2022-01-28 14:01:50] Epoch#8_Iter#89600_loss: 22.924
[2022-01-28 14:02:38] Epoch#8_Iter#102400_loss: 18.258
[2022-01-28 14:03:26] Epoch#8_Iter#115200_loss: 20.128
[2022-01-28 14:04:13] Epoch#8_Iter#128000_loss: 18.759
[2022-01-28 14:05:01] Epoch#8_Iter#140800_loss: 17.883
[2022-01-28 14:05:49] Epoch#8_Iter#153600_loss: 18.328
[2022-01-28 14:06:36] Epoch#8_Iter#166400_loss: 19.988
[2022-01-28 14:07:24] Epoch#8_Iter#179200_loss: 22.234
[2022-01-28 14:08:12] Epoch#8_Iter#192000_loss: 16.868
[2022-01-28 14:09:00] Epoch#8_Iter#204800_loss: 16.983
[2022-01-28 14:09:47] Epoch#8_Iter#217600_loss: 19.355
[2022-01-28 14:10:35] Epoch#8_Iter#230400_loss: 17.295
[2022-01-28 14:11:23] Epoch#8_Iter#243200_loss: 21.939
[2022-01-28 14:12:11] Epoch#8_Iter#256000_loss: 18.959
[2022-01-28 14:12:58] Epoch#8_Iter#268800_loss: 18.882
[2022-01-28 14:13:46] Epoch#8_Iter#281600_loss: 18.172
[2022-01-28 14:14:34] Epoch#8_Iter#294400_loss: 18.167
[2022-01-28 14:15:22] Epoch#8_Iter#307200_loss: 20.222
[2022-01-28 14:16:09] Epoch#8_Iter#320000_loss: 21.659
[2022-01-28 14:16:57] Epoch#8_Iter#332800_loss: 19.503
[2022-01-28 14:17:45] Epoch#8_Iter#345600_loss: 22.018
[2022-01-28 14:18:32] Epoch#8_Iter#358400_loss: 19.574
[2022-01-28 14:19:21] Epoch#8_Iter#371200_loss: 19.603
[2022-01-28 14:20:08] Epoch#8_Iter#384000_loss: 19.969
[2022-01-28 14:20:56] Epoch#8_Iter#396800_loss: 23.625
[2022-01-28 14:21:44] Epoch#8_Iter#409600_loss: 18.203
[2022-01-28 14:22:32] Epoch#8_Iter#422400_loss: 19.517
[2022-01-28 14:23:19] Epoch#8_Iter#435200_loss: 18.358
[2022-01-28 14:24:07] Epoch#8_Iter#448000_loss: 18.933
[2022-01-28 14:24:55] Epoch#8_Iter#460800_loss: 18.854
[2022-01-28 14:25:43] Epoch#8_Iter#473600_loss: 22.664
[2022-01-28 14:26:30] Epoch#8_Iter#486400_loss: 20.145
[2022-01-28 14:27:16] Epoch#8 end, Accuracy: 97.167, Time Consumed: 1829.888
[2022-01-28 14:28:04] Epoch#9_Iter#12800_loss: 19.932
[2022-01-28 14:28:52] Epoch#9_Iter#25600_loss: 15.922
[2022-01-28 14:29:40] Epoch#9_Iter#38400_loss: 19.759
[2022-01-28 14:30:27] Epoch#9_Iter#51200_loss: 17.431
[2022-01-28 14:31:15] Epoch#9_Iter#64000_loss: 19.288
[2022-01-28 14:32:03] Epoch#9_Iter#76800_loss: 20.894
[2022-01-28 14:32:51] Epoch#9_Iter#89600_loss: 20.189
[2022-01-28 14:33:38] Epoch#9_Iter#102400_loss: 20.965
[2022-01-28 14:34:26] Epoch#9_Iter#115200_loss: 18.658
[2022-01-28 14:35:14] Epoch#9_Iter#128000_loss: 21.594
[2022-01-28 14:36:02] Epoch#9_Iter#140800_loss: 17.024
[2022-01-28 14:36:50] Epoch#9_Iter#153600_loss: 19.120
[2022-01-28 14:37:37] Epoch#9_Iter#166400_loss: 19.795
[2022-01-28 14:38:25] Epoch#9_Iter#179200_loss: 19.131
[2022-01-28 14:39:13] Epoch#9_Iter#192000_loss: 21.440
[2022-01-28 14:40:01] Epoch#9_Iter#204800_loss: 18.001
[2022-01-28 14:40:48] Epoch#9_Iter#217600_loss: 19.577
[2022-01-28 14:41:36] Epoch#9_Iter#230400_loss: 17.692
[2022-01-28 14:42:24] Epoch#9_Iter#243200_loss: 22.245
[2022-01-28 14:43:12] Epoch#9_Iter#256000_loss: 18.844
[2022-01-28 14:44:00] Epoch#9_Iter#268800_loss: 22.941
[2022-01-28 14:44:48] Epoch#9_Iter#281600_loss: 20.006
[2022-01-28 14:45:35] Epoch#9_Iter#294400_loss: 20.566
[2022-01-28 14:46:23] Epoch#9_Iter#307200_loss: 19.200
[2022-01-28 14:47:11] Epoch#9_Iter#320000_loss: 18.120
[2022-01-28 14:47:59] Epoch#9_Iter#332800_loss: 18.197
[2022-01-28 14:48:46] Epoch#9_Iter#345600_loss: 19.874
[2022-01-28 14:49:34] Epoch#9_Iter#358400_loss: 21.127
[2022-01-28 14:50:22] Epoch#9_Iter#371200_loss: 18.285
[2022-01-28 14:51:10] Epoch#9_Iter#384000_loss: 21.865
[2022-01-28 14:51:57] Epoch#9_Iter#396800_loss: 21.490
[2022-01-28 14:52:45] Epoch#9_Iter#409600_loss: 17.347
[2022-01-28 14:53:33] Epoch#9_Iter#422400_loss: 26.223
[2022-01-28 14:54:21] Epoch#9_Iter#435200_loss: 23.833
[2022-01-28 14:55:08] Epoch#9_Iter#448000_loss: 18.228
[2022-01-28 14:55:56] Epoch#9_Iter#460800_loss: 20.557
[2022-01-28 14:56:44] Epoch#9_Iter#473600_loss: 20.413
[2022-01-28 14:57:32] Epoch#9_Iter#486400_loss: 19.537
[2022-01-28 14:58:17] Epoch#9 end, Accuracy: 96.917, Time Consumed: 1830.593
[2022-01-28 14:59:05] Epoch#10_Iter#12800_loss: 21.475
[2022-01-28 14:59:53] Epoch#10_Iter#25600_loss: 18.575
[2022-01-28 15:00:41] Epoch#10_Iter#38400_loss: 16.273
[2022-01-28 15:01:28] Epoch#10_Iter#51200_loss: 18.224
[2022-01-28 15:02:16] Epoch#10_Iter#64000_loss: 21.171
[2022-01-28 15:03:04] Epoch#10_Iter#76800_loss: 20.041
[2022-01-28 15:03:52] Epoch#10_Iter#89600_loss: 18.785
[2022-01-28 15:04:40] Epoch#10_Iter#102400_loss: 20.362
[2022-01-28 15:05:27] Epoch#10_Iter#115200_loss: 18.330
[2022-01-28 15:06:15] Epoch#10_Iter#128000_loss: 15.027
[2022-01-28 15:07:03] Epoch#10_Iter#140800_loss: 19.063
[2022-01-28 15:07:51] Epoch#10_Iter#153600_loss: 19.099
[2022-01-28 15:08:38] Epoch#10_Iter#166400_loss: 18.991
[2022-01-28 15:09:26] Epoch#10_Iter#179200_loss: 19.233
[2022-01-28 15:10:14] Epoch#10_Iter#192000_loss: 19.850
[2022-01-28 15:11:02] Epoch#10_Iter#204800_loss: 18.974
[2022-01-28 15:11:50] Epoch#10_Iter#217600_loss: 19.237
[2022-01-28 15:12:37] Epoch#10_Iter#230400_loss: 16.627
[2022-01-28 15:13:25] Epoch#10_Iter#243200_loss: 17.705
[2022-01-28 15:14:13] Epoch#10_Iter#256000_loss: 14.879
[2022-01-28 15:15:01] Epoch#10_Iter#268800_loss: 22.216
[2022-01-28 15:15:48] Epoch#10_Iter#281600_loss: 19.940
[2022-01-28 15:16:36] Epoch#10_Iter#294400_loss: 18.509
[2022-01-28 15:17:24] Epoch#10_Iter#307200_loss: 18.207
[2022-01-28 15:18:12] Epoch#10_Iter#320000_loss: 19.832
[2022-01-28 15:18:59] Epoch#10_Iter#332800_loss: 19.582
[2022-01-28 15:19:47] Epoch#10_Iter#345600_loss: 19.609
