[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 17:40:05] Epoch#6_Iter#320000_loss: 18.870
[2022-01-20 17:40:52] Epoch#6_Iter#332800_loss: 17.129
[2022-01-20 17:41:40] Epoch#6_Iter#345600_loss: 18.590
[2022-01-20 17:42:27] Epoch#6_Iter#358400_loss: 17.978
[2022-01-20 17:43:15] Epoch#6_Iter#371200_loss: 18.302
[2022-01-20 17:44:02] Epoch#6_Iter#384000_loss: 17.252
[2022-01-20 17:44:50] Epoch#6_Iter#396800_loss: 19.397
[2022-01-20 17:45:37] Epoch#6_Iter#409600_loss: 17.489
[2022-01-20 17:46:25] Epoch#6_Iter#422400_loss: 18.467
[2022-01-20 17:47:12] Epoch#6_Iter#435200_loss: 19.562
[2022-01-20 17:48:00] Epoch#6_Iter#448000_loss: 16.341
[2022-01-20 17:48:47] Epoch#6_Iter#460800_loss: 18.728
[2022-01-20 17:49:35] Epoch#6_Iter#473600_loss: 19.680
[2022-01-20 17:50:22] Epoch#6_Iter#486400_loss: 18.688
[2022-01-20 17:51:08] Epoch#6 end, Accuracy: 94.967, Time Consumed: 1820.217
[2022-01-20 17:51:56] Epoch#7_Iter#12800_loss: 16.337
[2022-01-20 17:52:43] Epoch#7_Iter#25600_loss: 17.574
[2022-01-20 17:53:31] Epoch#7_Iter#38400_loss: 16.562
[2022-01-20 17:54:18] Epoch#7_Iter#51200_loss: 16.463
[2022-01-20 17:55:06] Epoch#7_Iter#64000_loss: 18.104
[2022-01-20 17:55:53] Epoch#7_Iter#76800_loss: 16.229
[2022-01-20 17:56:41] Epoch#7_Iter#89600_loss: 15.176
[2022-01-20 17:57:28] Epoch#7_Iter#102400_loss: 16.455
[2022-01-20 17:58:16] Epoch#7_Iter#115200_loss: 18.299
[2022-01-20 17:59:03] Epoch#7_Iter#128000_loss: 15.590
[2022-01-20 17:59:51] Epoch#7_Iter#140800_loss: 18.060
[2022-01-20 18:00:38] Epoch#7_Iter#153600_loss: 16.577
[2022-01-20 18:01:26] Epoch#7_Iter#166400_loss: 18.510
[2022-01-20 18:02:13] Epoch#7_Iter#179200_loss: 14.461
[2022-01-20 18:03:01] Epoch#7_Iter#192000_loss: 14.845
[2022-01-20 18:03:48] Epoch#7_Iter#204800_loss: 17.663
[2022-01-20 18:04:36] Epoch#7_Iter#217600_loss: 18.043
[2022-01-20 18:05:23] Epoch#7_Iter#230400_loss: 16.263
[2022-01-20 18:06:11] Epoch#7_Iter#243200_loss: 20.147
[2022-01-20 18:06:58] Epoch#7_Iter#256000_loss: 17.914
[2022-01-20 18:07:46] Epoch#7_Iter#268800_loss: 17.737
[2022-01-20 18:08:33] Epoch#7_Iter#281600_loss: 14.917
[2022-01-20 18:09:21] Epoch#7_Iter#294400_loss: 16.494
[2022-01-20 18:10:08] Epoch#7_Iter#307200_loss: 15.291
[2022-01-20 18:10:56] Epoch#7_Iter#320000_loss: 15.458
[2022-01-20 18:11:43] Epoch#7_Iter#332800_loss: 17.451
[2022-01-20 18:12:31] Epoch#7_Iter#345600_loss: 17.667
[2022-01-20 18:13:18] Epoch#7_Iter#358400_loss: 19.200
[2022-01-20 18:14:06] Epoch#7_Iter#371200_loss: 17.333
[2022-01-20 18:14:53] Epoch#7_Iter#384000_loss: 18.457
[2022-01-20 18:15:41] Epoch#7_Iter#396800_loss: 15.969
[2022-01-20 18:16:28] Epoch#7_Iter#409600_loss: 18.794
[2022-01-20 18:17:16] Epoch#7_Iter#422400_loss: 18.287
[2022-01-20 18:18:03] Epoch#7_Iter#435200_loss: 16.172
[2022-01-20 18:18:51] Epoch#7_Iter#448000_loss: 21.099
[2022-01-20 18:19:38] Epoch#7_Iter#460800_loss: 15.712
[2022-01-20 18:20:26] Epoch#7_Iter#473600_loss: 16.744
[2022-01-20 18:21:13] Epoch#7_Iter#486400_loss: 17.451
[2022-01-20 18:21:59] Epoch#7 end, Accuracy: 95.717, Time Consumed: 1820.216
[2022-01-20 18:22:46] Epoch#8_Iter#12800_loss: 17.183
[2022-01-20 18:23:34] Epoch#8_Iter#25600_loss: 18.271
[2022-01-20 18:24:21] Epoch#8_Iter#38400_loss: 16.035
[2022-01-20 18:25:09] Epoch#8_Iter#51200_loss: 16.102
[2022-01-20 18:25:56] Epoch#8_Iter#64000_loss: 12.912
[2022-01-20 18:26:44] Epoch#8_Iter#76800_loss: 15.610
[2022-01-20 18:27:31] Epoch#8_Iter#89600_loss: 15.725
[2022-01-20 18:28:19] Epoch#8_Iter#102400_loss: 16.872
[2022-01-20 18:29:06] Epoch#8_Iter#115200_loss: 14.021
[2022-01-20 18:29:54] Epoch#8_Iter#128000_loss: 17.183
[2022-01-20 18:30:41] Epoch#8_Iter#140800_loss: 15.930
[2022-01-20 18:31:29] Epoch#8_Iter#153600_loss: 15.386
[2022-01-20 18:32:16] Epoch#8_Iter#166400_loss: 16.330
[2022-01-20 18:33:04] Epoch#8_Iter#179200_loss: 14.367
[2022-01-20 18:33:51] Epoch#8_Iter#192000_loss: 18.992
[2022-01-20 18:34:39] Epoch#8_Iter#204800_loss: 18.610
[2022-01-20 18:35:26] Epoch#8_Iter#217600_loss: 14.661
[2022-01-20 18:36:14] Epoch#8_Iter#230400_loss: 16.513
[2022-01-20 18:37:01] Epoch#8_Iter#243200_loss: 12.662
[2022-01-20 18:37:49] Epoch#8_Iter#256000_loss: 15.482
[2022-01-20 18:38:36] Epoch#8_Iter#268800_loss: 14.961
[2022-01-20 18:39:24] Epoch#8_Iter#281600_loss: 15.051
[2022-01-20 18:40:11] Epoch#8_Iter#294400_loss: 15.939
[2022-01-20 18:40:59] Epoch#8_Iter#307200_loss: 17.164
[2022-01-20 18:41:46] Epoch#8_Iter#320000_loss: 14.712
[2022-01-20 18:42:34] Epoch#8_Iter#332800_loss: 14.409
[2022-01-20 18:43:21] Epoch#8_Iter#345600_loss: 15.727
[2022-01-20 18:44:09] Epoch#8_Iter#358400_loss: 16.454
[2022-01-20 18:44:56] Epoch#8_Iter#371200_loss: 16.802
[2022-01-20 18:45:44] Epoch#8_Iter#384000_loss: 14.680
[2022-01-20 18:46:32] Epoch#8_Iter#396800_loss: 13.774
[2022-01-20 18:47:19] Epoch#8_Iter#409600_loss: 14.908
[2022-01-20 18:48:07] Epoch#8_Iter#422400_loss: 14.831
